Date,Layoffs
14-Apr,21
14-May,11
14-Jun,43
14-Jul,25
14-Aug,18
14-Sep,83
14-Oct,115
14-Nov,200
14-Dec,126
15-Jan,125
15-Feb,52
15-Mar,44
15-Apr,275
15-May,125
15-Jun,148
15-Jul,232
15-Aug,198
15-Sep,103
15-Oct,148
15-Nov,125
15-Dec,275
16-Jan,44
16-Feb,52
16-Mar,125
16-Apr,91
16-May,18
16-Jun,83
16-Jul,115
16-Aug,200
16-Sep,226
16-Oct,125
16-Nov,52
16-Dec,44
17-Jan,275
17-Feb,125
17-Mar,148
17-Apr,232
17-May,198
17-Jun,123
17-Jul,310
17-Aug,18
17-Sep,198
17-Oct,232
17-Nov,148
17-Dec,125
18-Jan,275
18-Feb,44
18-Mar,52
18-Apr,125
18-May,226
18-Jun,198
18-Jul,232
18-Aug,148
18-Sep,125
18-Oct,275
18-Nov,44
18-Dec,52
19-Jan,125
19-Feb,226
19-Mar,200
19-Apr,115
19-May,83
19-Jun,37
19-Jul,148
19-Aug,125
19-Sep,275
19-Oct,44
19-Nov,52
19-Dec,125
20-Jan,47
20-Feb,91
20-Mar,65
20-Apr,212
20-May,637
20-Jun,202
20-Jul,65
20-Aug,35
20-Sep,71
20-Oct,25
20-Nov,79
20-Dec,60
21-Jan,360
21-Feb,40
21-Mar,23
21-Apr,43
21-May,29
21-Jun,27
21-Jul,71
21-Aug,13
21-Sep,15
21-Oct,73
21-Nov,25
21-Dec,61
22-Jan,19
22-Feb,18
22-Mar,83
22-Apr,115
22-May,200
22-Jun,226
22-Jul,125
22-Aug,52
22-Sep,44
22-Oct,275
22-Nov,125
22-Dec,148
23-Jan,232
23-Feb,198
23-Mar,118
23-Apr,113
23-May,102
23-Jun,158
23-Jul,136
23-Aug,144
23-Sep,265
23-Oct,189
23-Nov,120
23-Dec,115
24-Jan,105
24-Feb,161
24-Mar,139
24-Apr,146
24-May,268
24-Jun,192
24-Jul,123
24-Aug,118
24-Sep,108
24-Oct,164
24-Nov,142
24-Dec,149
25-Jan,271
25-Feb,195
25-Mar,126
25-Apr,121
25-May,111
25-Jun,166
25-Jul,144
25-Aug,152
25-Sep,273
25-Oct,197
25-Nov,128
25-Dec,123
26-Jan,113
26-Feb,169
26-Mar,147
26-Apr,155
26-May,276
26-Jun,200
26-Jul,131
26-Aug,126
26-Sep,116
26-Oct,172
26-Nov,150
26-Dec,157
27-Jan,279
27-Feb,203
